Status,Data type,Calibration,Value,Description,Calibration TRB
Add,FLOAT,KtVECC_phi_HSE_FwdDecAngleasdas,"{1.1, 1.4, 1.9, 2.0, 4.5, 5.6, 8.8, 9.9, 10}",,Engine Thermal Management TRB
Add,FLOAT,KtVECD_phi_HSE_FwdDecAngleasdas,"{1.1, 1.4, 1.9, 2.0, 4.5, 5.6, 8.8, 9.9, 10}",,Engine Thermal Management TRB
Add,FLOAT,KeVECI_phi_HSE_MsrdPstn,20,This is cal that calculates control action to be taken by the valve,Engine Thermal Management TRB
Add,INT,KeVECI_i_HSE_DstrbnMd,4,This is cal that calculates feedback position of the valve,Engine Thermal Management TRB
Add,FLOAT,KtVECI_cmp_HSE_FwdDecCPO,"{120, 130, 10, 20, 50, 80, 90, 100, 420, 600}",,Engine Thermal Management TRB
Add,TbBOOLEAN,KeVECI_b_HSE_DrvrOn,CbTRUE,This is another random ass calibration that i made up with out thinking much,Engine Thermal Management TRB
Add,FLOAT,KtVECI_phi_HSE_FwdDecAngleasdas,"{1.1, 1.4, 1.9, 2.0, 4.5, 5.6, 8.8, 9.9, 10}",,Engine Thermal Management TRB
Add,FLOAT,KeVECO_phi_HSE_MsrdPstn,20,This is cal that calculates control action to be taken by the valve,Engine Thermal Management TRB
Add,INT,KeVECO_i_HSE_DstrbnMd,4,This is cal that calculates feedback position of the valve,Engine Thermal Management TRB
Add,FLOAT,KtVECO_cmp_HSE_FwdDecCPO,"{120, 130, 10, 20, 50, 80, 90, 100, 420, 600}",,Engine Thermal Management TRB
Add,TbBOOLEAN,KeVECO_b_HSE_DrvrOn,CbTRUE,This is another random ass calibration that i made up with out thinking much,Engine Thermal Management TRB
Add,FLOAT,KtVECO_phi_HSE_FwdDecAngleasdas,"{1.1, 1.4, 1.9, 2.0, 4.5, 5.6, 8.8, 9.9, 10}",,Engine Thermal Management TRB
modify,INT,KeVECD_phi_HSE_MsrdPstn,35,This is cal that calculates control action to be taken by the valve,Engine Thermal Management TRB
modify,TbBOOLEAN,KeVECD_b_HSE_DrvrOn,CbFALSE,This is another random ass calibration that i made up with out thinking much,Engine Thermal Management TRB
